,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
HDAC1,408.0,256.0,477.0,192.0,948.0,394.0,588.0,272.0,124.0,984.0,449.0
HDAC3,406.0,816.0,226.0,888.0,775.0,953.0,67.0,99.0,867.0,88.0,615.0
IKK,277.0,560.0,625.0,620.0,201.0,740.0,285.0,810.0,764.0,114.0,794.0
PI3Kbeta,254.0,679.0,354.0,898.0,951.0,867.0,110.0,35.0,883.0,205.0,855.0
ERK5,444.0,512.0,378.0,912.0,920.0,504.0,380.0,223.0,233.0,185.0,430.0
BET,527.0,319.0,91.0,817.0,749.0,869.0,194.0,112.0,816.0,687.0,288.0
EIF2A,454.0,545.0,606.0,479.0,279.0,203.0,728.0,705.0,545.0,87.0,312.0
ERBB2,122.0,843.0,266.0,65.0,513.0,474.0,728.0,934.0,512.0,450.0,547.0
ROCK1,433.0,164.0,290.0,856.0,805.0,944.0,154.0,52.0,893.0,753.0,543.0
ROCK2,846.0,194.0,773.0,424.0,86.0,185.0,499.0,561.0,734.0,294.0,777.0
Anthracycline,739.0,307.0,188.0,488.0,813.0,441.0,702.0,219.0,394.0,863.0,95.0
TOP2,590.0,400.0,209.0,857.0,888.0,697.0,479.0,68.0,361.0,771.0,210.0
Pyrimidine antimetabolite,520.0,293.0,289.0,716.0,831.0,647.0,571.0,100.0,486.0,902.0,152.0
DNA crosslinker,693.0,168.0,356.0,685.0,849.0,713.0,518.0,59.0,604.0,875.0,137.0
Microtubule destabiliser,549.0,392.0,237.0,304.0,687.0,708.0,478.0,418.0,513.0,853.0,420.0
SHP-1 (PTPN6),183.0,639.0,904.0,635.0,760.0,510.0,608.0,272.0,159.0,276.0,832.0
SHP-2 (PTPN11),153.0,663.0,904.0,740.0,775.0,603.0,517.0,280.0,146.0,188.0,854.0
AR,573.0,136.0,805.0,295.0,5.0,311.0,720.0,965.0,783.0,458.0,820.0
ARFGAP1,78.0,775.0,201.0,473.0,824.0,784.0,419.0,765.0,557.0,463.0,710.0
ATM,479.0,268.0,932.0,430.0,67.0,173.0,628.0,906.0,277.0,480.0,897.0
PPK,612.0,342.0,645.0,888.0,878.0,494.0,382.0,113.0,455.0,309.0,437.0
FLT1,430.0,327.0,416.0,911.0,978.0,654.0,483.0,56.0,154.0,591.0,465.0
c-FGR,570.0,449.0,609.0,836.0,887.0,626.0,332.0,150.0,448.0,312.0,451.0
GSK3A,412.0,356.0,693.0,697.0,564.0,931.0,265.0,118.0,773.0,329.0,928.0
GSK3B,444.0,328.0,676.0,676.0,481.0,916.0,284.0,104.0,779.0,363.0,920.0
PDGFRA,493.0,963.0,466.0,634.0,995.0,885.0,26.0,18.0,341.0,347.0,330.0
VEGFR2,785.0,579.0,652.0,647.0,906.0,502.0,428.0,68.0,456.0,134.0,255.0
FGFR1,717.0,874.0,791.0,728.0,693.0,348.0,230.0,82.0,465.0,87.0,385.0
TIE2,650.0,406.0,530.0,739.0,986.0,526.0,537.0,7.0,173.0,578.0,351.0
JNK2,868.0,23.0,876.0,566.0,62.0,808.0,376.0,290.0,879.0,732.0,608.0
JNK3,696.0,494.0,317.0,523.0,463.0,529.0,610.0,343.0,579.0,547.0,223.0
FAK,356.0,661.0,103.0,914.0,852.0,804.0,245.0,188.0,779.0,239.0,589.0
FAK2,444.0,722.0,83.0,853.0,883.0,826.0,262.0,175.0,808.0,216.0,549.0
BRD2,88.0,784.0,669.0,865.0,963.0,840.0,144.0,157.0,407.0,325.0,547.0
BRD3,104.0,835.0,656.0,888.0,965.0,821.0,156.0,180.0,335.0,229.0,509.0
BRD4,161.0,939.0,633.0,776.0,974.0,988.0,52.0,41.0,643.0,192.0,569.0
BRDT,322.0,831.0,282.0,721.0,666.0,902.0,145.0,127.0,838.0,516.0,200.0
HDAC2,105.0,902.0,318.0,950.0,997.0,766.0,274.0,6.0,342.0,588.0,258.0
HIF-PH,113.0,601.0,492.0,875.0,933.0,659.0,401.0,227.0,380.0,379.0,613.0
Farnesyl-transferase (FNTA),551.0,658.0,235.0,769.0,954.0,892.0,144.0,15.0,618.0,713.0,350.0
PDK1 (PDPK1),850.0,722.0,607.0,374.0,640.0,115.0,713.0,458.0,56.0,447.0,168.0
not defined,553.0,644.0,602.0,810.0,970.0,450.0,358.0,58.0,292.0,203.0,446.0
XIAP,428.0,736.0,244.0,675.0,499.0,764.0,201.0,184.0,784.0,554.0,526.0
PPARgamma,259.0,947.0,98.0,380.0,539.0,711.0,579.0,400.0,792.0,239.0,209.0
PPARdelta,290.0,950.0,79.0,324.0,531.0,690.0,566.0,426.0,787.0,245.0,208.0
Procaspase-3,929.0,245.0,910.0,272.0,12.0,118.0,287.0,856.0,726.0,445.0,899.0
Procaspase-7,967.0,149.0,898.0,217.0,10.0,74.0,325.0,804.0,763.0,455.0,913.0
PAK1,394.0,207.0,798.0,331.0,99.0,513.0,395.0,948.0,653.0,536.0,868.0
SGK2,570.0,604.0,246.0,773.0,926.0,389.0,558.0,85.0,319.0,640.0,230.0
SGK3,577.0,647.0,218.0,747.0,953.0,391.0,538.0,57.0,302.0,616.0,205.0
SYK,922.0,11.0,661.0,536.0,8.0,647.0,579.0,535.0,933.0,782.0,393.0
Antimetabolite (DNA & RNA),625.0,689.0,795.0,631.0,801.0,167.0,663.0,460.0,84.0,225.0,410.0
SERCA,645.0,228.0,245.0,315.0,477.0,651.0,564.0,351.0,688.0,946.0,219.0
BCL2,349.0,978.0,454.0,435.0,222.0,723.0,132.0,846.0,514.0,113.0,586.0
BCL-XL,460.0,965.0,480.0,392.0,203.0,646.0,151.0,857.0,501.0,121.0,603.0
BCL-W,165.0,995.0,476.0,598.0,860.0,698.0,176.0,679.0,120.0,78.0,400.0
MCL1,707.0,70.0,291.0,459.0,346.0,553.0,567.0,322.0,780.0,953.0,496.0
Retinioic X receptor (RXR) agonist,572.0,759.0,228.0,684.0,925.0,773.0,138.0,16.0,736.0,573.0,513.0
dsDNA break induction,668.0,303.0,310.0,872.0,760.0,536.0,693.0,53.0,491.0,632.0,118.0
BTK,385.0,990.0,600.0,305.0,678.0,391.0,331.0,668.0,95.0,99.0,701.0
HSP90,457.0,703.0,163.0,379.0,841.0,884.0,296.0,396.0,707.0,468.0,295.0
Biguanide agent,149.0,891.0,824.0,838.0,652.0,339.0,504.0,319.0,415.0,55.0,715.0
PDGFRB,609.0,870.0,373.0,794.0,984.0,713.0,238.0,25.0,337.0,157.0,195.0
IKK1,656.0,831.0,536.0,791.0,876.0,68.0,405.0,197.0,340.0,67.0,477.0
IKK2,725.0,445.0,760.0,382.0,446.0,40.0,773.0,783.0,139.0,302.0,676.0
Amyloid beta20,95.0,764.0,492.0,664.0,126.0,680.0,378.0,969.0,636.0,212.0,779.0
Amyloid beta40,85.0,688.0,451.0,717.0,92.0,674.0,327.0,978.0,659.0,227.0,812.0
JAK1,378.0,458.0,747.0,558.0,97.0,418.0,610.0,876.0,610.0,144.0,727.0
JAK2,622.0,51.0,750.0,181.0,60.0,537.0,246.0,834.0,888.0,865.0,892.0
JNK1,794.0,254.0,312.0,134.0,46.0,95.0,893.0,675.0,736.0,907.0,301.0
KSP,762.0,28.0,625.0,72.0,22.0,66.0,860.0,969.0,410.0,976.0,816.0
CDK6,784.0,798.0,582.0,205.0,464.0,263.0,733.0,370.0,384.0,347.0,260.0
p38alpha,822.0,107.0,908.0,310.0,113.0,27.0,908.0,648.0,373.0,456.0,855.0
p38beta,790.0,113.0,915.0,301.0,90.0,32.0,895.0,717.0,366.0,424.0,864.0
PI3K (class 1),425.0,938.0,510.0,370.0,943.0,458.0,247.0,317.0,171.0,132.0,823.0
PI3Kgamma,670.0,539.0,782.0,495.0,829.0,66.0,827.0,340.0,106.0,287.0,497.0
PKCB,792.0,204.0,816.0,769.0,939.0,542.0,206.0,24.0,468.0,646.0,645.0
RSK,530.0,390.0,807.0,444.0,37.0,295.0,585.0,929.0,676.0,177.0,783.0
PI3Kdelta,205.0,953.0,794.0,820.0,833.0,412.0,409.0,367.0,148.0,25.0,581.0
G9a and GLP methyltransferases,903.0,332.0,912.0,282.0,101.0,47.0,791.0,684.0,470.0,197.0,547.0
FLT4,456.0,379.0,529.0,888.0,983.0,602.0,367.0,79.0,171.0,408.0,816.0
AXL,264.0,416.0,279.0,813.0,985.0,701.0,580.0,120.0,71.0,782.0,523.0
NTRK2,655.0,602.0,608.0,153.0,290.0,83.0,878.0,886.0,136.0,329.0,508.0
IRAK1,682.0,688.0,792.0,152.0,87.0,35.0,843.0,941.0,195.0,223.0,592.0
LTK,341.0,271.0,803.0,463.0,34.0,144.0,713.0,959.0,455.0,339.0,898.0
Autophagy inducer,322.0,664.0,829.0,559.0,95.0,384.0,589.0,885.0,444.0,103.0,758.0
TAK1,232.0,299.0,189.0,713.0,983.0,986.0,253.0,235.0,437.0,848.0,356.0
MAP4K2,341.0,888.0,609.0,799.0,951.0,322.0,720.0,336.0,62.0,78.0,252.0
TAK,358.0,770.0,601.0,778.0,976.0,566.0,484.0,285.0,75.0,159.0,421.0
ERK2,102.0,855.0,471.0,426.0,396.0,400.0,559.0,977.0,149.0,302.0,698.0
ERK1,743.0,130.0,780.0,472.0,11.0,109.0,856.0,938.0,613.0,259.0,730.0
HDAC6,670.0,283.0,844.0,178.0,174.0,197.0,791.0,931.0,113.0,449.0,745.0
HDAC8,385.0,698.0,698.0,667.0,322.0,447.0,526.0,741.0,340.0,60.0,787.0
Endothelin-1 receptor (EDNRA),298.0,478.0,730.0,547.0,97.0,408.0,506.0,888.0,563.0,245.0,841.0
BIRC5,605.0,647.0,345.0,107.0,758.0,213.0,778.0,456.0,265.0,915.0,137.0
MDM4,168.0,861.0,661.0,127.0,534.0,174.0,915.0,888.0,43.0,765.0,200.0
HDAC,507.0,258.0,724.0,434.0,37.0,265.0,527.0,927.0,648.0,539.0,787.0
RAR,588.0,193.0,743.0,397.0,29.0,252.0,567.0,922.0,712.0,554.0,773.0
HDAC1-10,657.0,244.0,402.0,136.0,750.0,208.0,846.0,641.0,155.0,933.0,288.0
VEGFR1,740.0,573.0,679.0,630.0,578.0,502.0,406.0,433.0,555.0,52.0,335.0
VEGFR3,688.0,595.0,624.0,637.0,595.0,430.0,523.0,458.0,518.0,60.0,286.0
MEK5,405.0,710.0,756.0,632.0,591.0,188.0,748.0,776.0,108.0,109.0,611.0
MTORC2,415.0,841.0,756.0,441.0,622.0,116.0,609.0,772.0,107.0,192.0,687.0
Angiopoietin-1 receptor,396.0,448.0,844.0,763.0,471.0,316.0,581.0,590.0,282.0,197.0,853.0
JAK3,387.0,349.0,731.0,505.0,82.0,279.0,647.0,951.0,411.0,333.0,822.0
IKKB,366.0,502.0,834.0,653.0,288.0,240.0,699.0,820.0,192.0,181.0,783.0
MAP3K8,605.0,440.0,846.0,262.0,313.0,165.0,645.0,882.0,141.0,529.0,441.0
MPS1,551.0,566.0,787.0,226.0,234.0,48.0,804.0,946.0,145.0,336.0,711.0
EPHB4,237.0,972.0,408.0,863.0,998.0,726.0,273.0,98.0,73.0,115.0,236.0
RNA Polymerase 1,385.0,685.0,537.0,657.0,935.0,253.0,782.0,441.0,36.0,340.0,421.0
PI3Kalpha,70.0,963.0,453.0,834.0,999.0,751.0,222.0,16.0,119.0,666.0,360.0
DAPK3,69.0,971.0,385.0,805.0,999.0,766.0,232.0,20.0,130.0,672.0,343.0
CLK4,40.0,972.0,412.0,830.0,999.0,759.0,237.0,16.0,107.0,675.0,351.0
PIM3,53.0,928.0,705.0,574.0,985.0,483.0,347.0,182.0,70.0,759.0,539.0
HIPK2,56.0,967.0,377.0,828.0,999.0,766.0,244.0,14.0,111.0,688.0,316.0
ALK5,827.0,151.0,938.0,439.0,119.0,51.0,936.0,737.0,370.0,271.0,434.0
TNKS1,652.0,786.0,462.0,568.0,965.0,594.0,465.0,49.0,208.0,522.0,95.0
TNKS2,585.0,859.0,477.0,658.0,971.0,628.0,442.0,33.0,183.0,435.0,95.0
ROCK,478.0,316.0,778.0,751.0,320.0,146.0,718.0,592.0,260.0,446.0,700.0
PYKFYVE,328.0,682.0,624.0,858.0,785.0,243.0,777.0,597.0,40.0,194.0,401.0
DDR1,404.0,627.0,878.0,565.0,478.0,137.0,662.0,661.0,339.0,112.0,647.0
RIPK1,464.0,755.0,856.0,202.0,114.0,42.0,688.0,922.0,201.0,371.0,748.0
CAMK2,737.0,364.0,896.0,588.0,95.0,72.0,590.0,540.0,599.0,214.0,793.0
LXR,299.0,429.0,812.0,577.0,84.0,338.0,567.0,721.0,617.0,275.0,890.0
FXR,302.0,442.0,795.0,568.0,86.0,354.0,567.0,753.0,592.0,341.0,907.0
SIRT1,395.0,414.0,737.0,489.0,59.0,321.0,553.0,893.0,664.0,221.0,800.0
AMPK agonist,253.0,510.0,585.0,738.0,364.0,748.0,415.0,529.0,709.0,127.0,763.0
TOP1,686.0,152.0,236.0,389.0,436.0,598.0,676.0,472.0,590.0,912.0,228.0
Antimetabolite,922.0,52.0,528.0,19.0,38.0,176.0,658.0,817.0,748.0,976.0,573.0
Retinoic acid,579.0,548.0,891.0,246.0,78.0,360.0,244.0,916.0,488.0,380.0,837.0
HDAC inhibitor Class I,557.0,789.0,549.0,56.0,260.0,218.0,582.0,861.0,492.0,601.0,521.0
IIa,452.0,865.0,508.0,81.0,409.0,353.0,433.0,796.0,530.0,493.0,547.0
IIb,481.0,859.0,563.0,82.0,328.0,336.0,371.0,841.0,526.0,461.0,504.0
IV,433.0,899.0,595.0,93.0,307.0,299.0,439.0,843.0,520.0,462.0,551.0
MEK1,8.0,878.0,62.0,568.0,980.0,994.0,50.0,686.0,496.0,619.0,538.0
MEK2,16.0,872.0,57.0,585.0,979.0,995.0,54.0,682.0,530.0,588.0,499.0
PARP1,593.0,64.0,472.0,432.0,2.0,200.0,938.0,878.0,816.0,828.0,250.0
PARP2,549.0,94.0,509.0,473.0,5.0,206.0,928.0,863.0,812.0,780.0,298.0
TEC,440.0,282.0,509.0,295.0,669.0,464.0,733.0,594.0,86.0,871.0,472.0
CRBN,371.0,364.0,559.0,322.0,46.0,510.0,546.0,931.0,724.0,448.0,822.0
CHEK1,827.0,288.0,744.0,310.0,285.0,379.0,491.0,220.0,474.0,915.0,164.0
CHEK2,867.0,457.0,644.0,279.0,435.0,143.0,599.0,189.0,484.0,832.0,149.0
NTRK1,213.0,480.0,194.0,334.0,950.0,790.0,651.0,124.0,688.0,772.0,378.0
NTRK3,345.0,248.0,181.0,754.0,898.0,922.0,388.0,172.0,622.0,776.0,374.0
p38,493.0,700.0,864.0,296.0,820.0,819.0,53.0,60.0,816.0,397.0,736.0
TBK1,357.0,486.0,757.0,671.0,525.0,941.0,96.0,403.0,728.0,333.0,851.0
DNAPK,252.0,981.0,216.0,777.0,849.0,978.0,62.0,340.0,588.0,77.0,465.0
PIM1,782.0,120.0,791.0,126.0,4.0,192.0,670.0,987.0,631.0,556.0,726.0
JNK,229.0,663.0,707.0,456.0,237.0,450.0,540.0,794.0,532.0,253.0,817.0
WEE1,408.0,213.0,698.0,512.0,198.0,925.0,334.0,582.0,568.0,659.0,641.0
MDM2,642.0,768.0,332.0,721.0,864.0,927.0,258.0,93.0,795.0,255.0,25.0
FGFR3,417.0,890.0,677.0,706.0,148.0,464.0,224.0,745.0,563.0,103.0,515.0
PI3K (Class 1),628.0,559.0,103.0,577.0,896.0,973.0,105.0,132.0,705.0,722.0,203.0
PPM1D,271.0,421.0,812.0,474.0,70.0,342.0,578.0,892.0,728.0,201.0,905.0
RAC1,652.0,545.0,723.0,417.0,6.0,330.0,508.0,924.0,811.0,113.0,738.0
RAC2,601.0,564.0,662.0,396.0,19.0,364.0,493.0,908.0,804.0,117.0,722.0
RAC3,673.0,587.0,768.0,419.0,9.0,338.0,455.0,903.0,825.0,98.0,760.0
S6K1,308.0,582.0,632.0,773.0,416.0,928.0,250.0,417.0,786.0,211.0,324.0
LOK,807.0,111.0,350.0,186.0,201.0,176.0,753.0,723.0,549.0,942.0,334.0
TRCB,733.0,140.0,438.0,222.0,279.0,177.0,743.0,699.0,540.0,930.0,405.0
ABL(T315I),734.0,152.0,366.0,252.0,285.0,244.0,735.0,660.0,566.0,920.0,353.0
ADCK4,834.0,193.0,806.0,105.0,101.0,20.0,762.0,951.0,199.0,692.0,770.0
BRSK2,776.0,342.0,625.0,524.0,434.0,467.0,198.0,441.0,716.0,348.0,748.0
MARK4,726.0,378.0,728.0,581.0,625.0,402.0,231.0,414.0,520.0,327.0,765.0
PRKCD,694.0,367.0,551.0,427.0,527.0,555.0,148.0,481.0,691.0,370.0,790.0
SPRK1,733.0,402.0,680.0,553.0,499.0,409.0,213.0,530.0,631.0,316.0,824.0
MAPK7,391.0,349.0,419.0,737.0,703.0,914.0,64.0,481.0,814.0,206.0,935.0
ATR,405.0,756.0,668.0,202.0,157.0,37.0,855.0,967.0,140.0,246.0,687.0
ALK4,867.0,144.0,747.0,208.0,55.0,427.0,625.0,256.0,919.0,920.0,216.0
ESR1,89.0,648.0,745.0,816.0,337.0,912.0,310.0,578.0,780.0,378.0,316.0
EGLN1,596.0,426.0,114.0,128.0,128.0,557.0,668.0,857.0,788.0,745.0,529.0
RNA helicase A,810.0,25.0,606.0,94.0,13.0,530.0,626.0,793.0,790.0,961.0,751.0
Induces reactive oxygen species,588.0,413.0,285.0,195.0,74.0,687.0,518.0,737.0,828.0,770.0,591.0
NAMPT,836.0,75.0,459.0,96.0,72.0,148.0,736.0,824.0,533.0,956.0,424.0
TRAIL receptor agonist,228.0,453.0,409.0,282.0,32.0,316.0,788.0,987.0,448.0,695.0,427.0
L3MBTL3,632.0,139.0,711.0,198.0,5.0,274.0,589.0,980.0,788.0,616.0,848.0
DOT1L,567.0,304.0,586.0,204.0,3.0,267.0,688.0,987.0,683.0,491.0,802.0
DNA alkylating agent,554.0,210.0,765.0,519.0,14.0,320.0,774.0,853.0,679.0,286.0,825.0
NAE,826.0,244.0,415.0,356.0,113.0,584.0,661.0,345.0,743.0,817.0,271.0
